Fecha,TRM_fin_mes,TRM_promedio,TRM_promedio_lag_12,TRM_log
1991-11-30,694.7,687.59,NA,NA
1991-12-31,632.37,630.38,NA,NA
1992-01-31,644.27,645.18,NA,NA
1992-02-29,636.54,635.53,NA,NA
1992-03-31,641.59,640.33,NA,NA
1992-04-30,653.83,649.16,NA,NA
1992-05-31,664.37,659.81,NA,NA
1992-06-30,697.57,675.79,NA,NA
1992-07-31,705.14,704.5,NA,NA
1992-08-31,691.68,693.72,NA,NA
1992-09-30,702.81,697.11,NA,NA
1992-10-31,716.88,707.65,NA,NA
1992-11-30,725.45,722.43,687.59,4.942779941591667
1992-12-31,737.98,733.42,630.38,15.139571336149043
1993-01-31,746.05,745.52,645.18,14.455261384691017
1993-02-27,758.03,749.08,635.53,16.438649045332866
1993-03-30,766.41,764.38,640.33,17.70813792471218
1993-04-30,774.94,771.79,649.16,17.303327284735797
1993-05-31,779.56,779.71,659.81,16.69701408914534
1993-06-30,787.12,784.24,675.79,14.883271906006296
1993-07-31,801.35,795.08,704.5,12.095440718366333
1993-08-31,806.86,804.61,693.72,14.828926709198765
1993-09-30,810.84,809.66,697.11,14.967118892544647
1993-10-31,817.03,814.45,707.65,14.056341762376611
1993-11-30,811.73,814.08,722.43,11.943811179194329
1993-12-31,804.33,803.56,733.42,9.133333018039016
1994-01-31,818.38,816.15,745.52,9.05162001226439
1994-02-28,819.7,817.67,749.08,8.761304533061026
1994-03-31,819.51,819.76,764.38,6.994656677951458
1994-04-30,836.86,829.87,771.79,7.255656972236826
1994-05-31,841.12,841.43,779.71,7.6180769702753866
1994-06-30,819.64,830.94,784.24,5.784249412921072
1994-07-31,815.62,819.06,795.08,2.9714602720542898
1994-08-31,816.3,814.82,804.61,1.2609541977866934
1994-09-30,842,830.06,809.66,2.488358087545733
1994-10-31,838.55,839.32,814.45,3.0079001382880133
1994-11-30,829.03,830.03,814.08,1.9403203444109265
1994-12-31,831.27,829.37,803.56,3.161452073833012
1995-01-31,856.41,846.63,816.15,3.6665601720035523
1995-02-28,856.99,850.9,817.67,3.9835780632593547
1995-03-31,880.23,865.83,819.76,5.467696995076923
1995-04-30,877.9,873.39,829.87,5.1113129460835935
1995-05-31,876.36,876.95,841.43,4.134715282239982
1995-06-30,881.23,874.86,830.94,5.150628347356755
1995-07-31,897.63,893.22,819.06,8.667556987407961
1995-08-31,960.19,935.1,814.82,13.768624548916145
1995-09-30,966.78,964.17,830.06,14.976964027615129
1995-10-31,994.5,984.96,839.32,16.00089910239655
1995-11-30,998.16,1000.58,830.03,18.68732661313888
1995-12-31,987.65,988.15,829.37,17.51681316541649
1996-01-31,1028.14,1011.19,846.63,17.761937078310847
1996-02-29,1039.81,1029.64,850.9,19.066989271061228
1996-03-31,1046,1044.98,865.83,18.806444101755048
1996-04-30,1058.9,1050.93,873.39,18.504857394559966
1996-05-31,1073.06,1066.24,876.95,19.544374189422157
1996-06-30,1069.11,1071.96,874.86,20.31801539454991
1996-07-31,1056.74,1064.1,893.22,17.50517393306648
1996-08-31,1042.32,1044.84,935.1,11.096556718712334
1996-09-30,1025.06,1040.84,964.17,7.651573082452345
1996-10-31,1005.83,1015.78,984.96,3.081103804771484
