d2_01,d2_03,d2_04,d2_05,d2_05_a,d2_06,d2_07,directorio,secuencia_encuesta,secuencia_p,orden
9,3,2,7,706,1.0,2.0,1,2,1,2
1,4,4,1,100,1.0,2.0,2,1,1,1
9,2,1,5,511,1.0,1.0,3,1,1,1
9,6,0,5,511,1.0,2.0,4,1,1,1
9,5,2,4,409,1.0,2.0,6,1,1,1
5,2,1,6,602,1.0,1.0,7,1,1,1
9,2,2,8,802,1.0,2.0,8,1,1,1
9,6,0,7,704,1.0,2.0,11,1,1,1
9,2,0,6,602,1.0,1.0,12,3,1,3
9,6,0,4,407,1.0,1.0,13,6,1,6
9,6,0,4,409,,,14,6,1,6
9,2,2,6,602,1.0,1.0,15,1,1,1
1,3,1,7,702,1.0,2.0,16,2,1,2
9,2,2,3,305,1.0,1.0,17,1,1,1
1,2,5,3,305,1.0,2.0,18,2,1,2
9,6,0,5,511,1.0,1.0,19,3,1,3
9,5,2,5,511,1.0,2.0,20,2,1,2
9,1,0,6,602,1.0,1.0,21,2,1,2
9,6,0,6,604,1.0,1.0,22,6,1,6
9,6,0,5,511,1.0,2.0,23,3,1,3
9,5,3,3,305,1.0,2.0,24,5,1,5
9,6,3,5,511,1.0,2.0,25,1,1,1
9,1,2,4,401,1.0,2.0,26,1,1,1
9,4,1,3,305,1.0,2.0,27,1,1,1
9,6,3,4,407,1.0,2.0,28,1,1,1
5,2,1,6,606,1.0,1.0,29,1,1,1
9,6,1,7,705,1.0,2.0,30,3,1,3
9,3,3,3,305,1.0,1.0,31,4,1,4
9,6,0,6,602,1.0,1.0,32,1,1,1
9,4,6,3,301,1.0,2.0,33,1,1,1
5,1,0,6,601,1.0,2.0,34,3,1,3
5,1,0,3,305,1.0,1.0,35,3,1,3
5,4,3,3,305,1.0,2.0,36,1,1,1
9,3,1,6,604,1.0,2.0,37,2,1,2
5,6,0,4,409,1.0,1.0,38,3,1,3
5,5,2,3,305,3.0,2.0,39,1,1,1
9,3,2,3,305,1.0,2.0,40,1,1,1
1,1,0,6,601,1.0,2.0,41,2,1,2
9,5,0,7,705,1.0,1.0,42,1,1,1
9,3,1,7,710,1.0,2.0,43,1,1,1
9,2,3,7,705,1.0,2.0,44,2,1,2
9,3,1,5,511,1.0,1.0,45,2,1,2
9,5,0,5,511,1.0,2.0,46,2,1,2
9,5,2,5,511,1.0,2.0,47,1,1,1
9,6,0,8,806,1.0,1.0,48,1,1,1
9,2,2,6,602,1.0,2.0,49,2,1,2
5,2,3,6,602,1.0,2.0,50,2,1,2
5,6,0,6,602,1.0,1.0,51,2,1,2
9,1,1,6,601,1.0,1.0,53,1,1,1
9,3,1,6,602,1.0,2.0,54,2,1,2
9,5,3,5,511,1.0,2.0,55,3,1,3
9,3,5,5,511,1.0,1.0,56,1,1,1
5,6,0,7,704,1.0,1.0,57,3,1,3
9,6,0,4,408,,,58,3,1,3
9,5,1,6,604,1.0,2.0,59,4,1,4
9,6,0,4,407,,,60,2,1,2
5,3,3,7,710,1.0,2.0,62,2,1,2
9,6,5,3,302,1.0,2.0,63,1,1,1
9,3,2,3,303,1.0,1.0,64,1,1,1
1,5,4,4,400,1.0,2.0,66,1,1,1
9,6,0,6,601,1.0,1.0,67,5,1,5
9,3,1,4,408,1.0,2.0,69,1,1,1
9,6,0,4,409,,,70,3,1,3
9,5,0,7,700,1.0,2.0,71,3,1,3
9,5,1,6,604,1.0,2.0,72,1,1,1
9,2,3,5,511,1.0,2.0,73,2,1,2
9,6,1,5,510,1.0,1.0,74,2,1,2
9,6,5,3,303,1.0,2.0,75,1,1,1
1,5,3,5,513,1.0,2.0,76,4,1,4
9,1,9,3,304,1.0,2.0,77,2,1,2
9,5,3,4,400,1.0,2.0,78,1,1,1
9,6,1,7,703,1.0,2.0,79,2,1,2
9,3,1,5,510,1.0,1.0,80,1,1,1
9,2,4,4,403,1.0,2.0,81,1,1,1
1,5,4,4,408,1.0,2.0,82,1,1,1
1,2,2,3,305,1.0,2.0,83,2,1,2
1,4,3,3,300,1.0,2.0,84,5,1,5
9,2,4,4,409,1.0,1.0,85,1,1,1
9,2,2,5,511,1.0,1.0,86,1,1,1
9,6,1,6,606,1.0,2.0,88,3,1,3
9,2,2,5,511,1.0,1.0,89,2,1,2
