propension_12m,sexo,edad,d2_01,d2_03,d2_04,d2_05,d2_06,d2_07
1,1,33,5,2,1,6.0,1.0,1.0
0,1,40,5,6,0,4.0,1.0,1.0
0,1,34,9,6,0,8.0,1.0,1.0
0,2,39,9,5,1,5.0,1.0,2.0
1,1,44,9,3,2,5.0,1.0,1.0
0,1,62,9,2,3,4.0,1.0,1.0
0,2,42,9,6,1,8.0,1.0,2.0
1,1,20,9,6,0,7.0,1.0,1.0
0,1,42,9,2,3,6.0,1.0,1.0
0,1,18,9,6,0,5.0,1.0,1.0
0,2,52,9,5,0,8.0,1.0,2.0
1,1,25,1,5,2,4.0,1.0,1.0
0,1,40,9,6,1,7.0,1.0,1.0
0,1,21,9,6,0,7.0,1.0,1.0
0,1,44,9,3,2,7.0,1.0,1.0
0,1,37,9,6,0,5.0,1.0,1.0
0,2,64,9,3,2,7.0,1.0,2.0
1,1,21,9,5,0,5.0,1.0,1.0
0,2,37,9,6,0,8.0,1.0,2.0
1,1,28,5,6,0,5.0,1.0,1.0
1,1,37,9,6,0,5.0,1.0,1.0
0,1,19,9,6,0,5.0,1.0,1.0
1,2,30,9,2,3,5.0,1.0,2.0
1,2,23,9,6,0,4.0,1.0,2.0
0,2,50,5,2,0,5.0,1.0,2.0
0,1,64,9,6,0,3.0,1.0,1.0
0,1,18,9,6,0,5.0,1.0,1.0
1,2,37,9,6,3,6.0,3.0,2.0
0,1,63,9,6,0,7.0,1.0,1.0
0,1,35,9,1,0,7.0,1.0,1.0
1,1,29,9,6,0,7.0,1.0,1.0
0,1,22,9,6,0,7.0,1.0,1.0
0,1,47,9,3,2,7.0,1.0,1.0
0,1,35,9,3,1,7.0,1.0,1.0
0,1,26,1,6,0,3.0,1.0,1.0
1,1,27,9,6,0,8.0,1.0,1.0
0,1,30,9,2,2,6.0,1.0,1.0
0,1,46,9,2,3,5.0,1.0,1.0
0,1,62,9,3,3,5.0,1.0,1.0
0,1,48,9,3,4,3.0,1.0,1.0
0,1,59,5,6,6,3.0,1.0,1.0
0,2,48,1,6,1,7.0,1.0,2.0
0,1,36,9,6,2,3.0,1.0,1.0
1,1,25,9,6,0,7.0,1.0,1.0
0,2,32,9,3,2,6.0,1.0,2.0
0,2,32,9,2,4,5.0,1.0,2.0
0,2,65,9,5,2,1.0,1.0,2.0
1,1,38,9,2,3,5.0,1.0,1.0
1,2,58,9,3,3,3.0,1.0,2.0
1,2,30,9,5,2,5.0,1.0,2.0
1,1,21,9,6,0,5.0,1.0,1.0
1,2,23,9,6,4,4.0,1.0,2.0
0,1,65,5,3,3,3.0,1.0,1.0
1,1,21,9,6,0,6.0,1.0,1.0
0,1,38,9,6,0,7.0,1.0,1.0
1,2,27,5,1,1,7.0,1.0,2.0
0,1,49,9,5,2,8.0,1.0,1.0
0,1,20,9,6,0,6.0,1.0,1.0
1,1,26,9,6,0,4.0,1.0,1.0
1,1,31,9,2,2,5.0,1.0,1.0
0,1,24,5,3,3,6.0,1.0,1.0
0,1,57,9,5,2,7.0,1.0,1.0
1,2,38,9,5,2,3.0,1.0,2.0
1,1,23,9,2,1,3.0,1.0,1.0
0,1,62,9,2,7,3.0,1.0,1.0
0,1,29,9,1,0,4.0,1.0,1.0
1,1,24,9,6,0,5.0,1.0,1.0
1,1,34,5,5,1,5.0,1.0,1.0
0,1,62,9,5,1,4.0,1.0,1.0
0,1,45,5,6,0,5.0,1.0,1.0
1,1,55,9,5,0,3.0,1.0,1.0
1,1,18,9,1,1,5.0,1.0,1.0
0,1,44,1,3,6,3.0,1.0,1.0
0,1,19,9,6,0,7.0,1.0,1.0
0,2,37,9,2,3,4.0,1.0,2.0
0,2,23,9,6,0,7.0,1.0,2.0
1,1,27,5,1,2,6.0,1.0,1.0
0,1,59,9,3,2,3.0,1.0,1.0
1,2,31,9,6,0,8.0,1.0,2.0
0,1,64,9,2,2,3.0,1.0,1.0
1,1,31,9,6,0,4.0,1.0,1.0
0,1,56,9,3,0,8.0,1.0,1.0
1,1,48,9,2,2,6.0,1.0,1.0
0,1,51,9,5,0,3.0,1.0,1.0
0,2,47,9,3,2,7.0,1.0,2.0
1,1,18,9,6,0,5.0,1.0,1.0
1,1,39,1,6,2,5.0,1.0,1.0
0,1,36,9,5,1,5.0,1.0,1.0
0,1,33,9,2,3,3.0,1.0,1.0
1,2,20,9,6,0,6.0,1.0,2.0
0,2,19,9,6,0,6.0,2.0,2.0
