Datos del Grupo Serie: Producto Interno Bruto (PIB),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,31/12/1925,31/12/1926,31/12/1927,31/12/1928,31/12/1929,31/12/1930,31/12/1931,31/12/1932,31/12/1933,31/12/1934,31/12/1935,31/12/1936,31/12/1937,31/12/1938,31/12/1939,31/12/1940,31/12/1941,31/12/1942,31/12/1943,31/12/1944,31/12/1945,31/12/1946,31/12/1947,31/12/1948,31/12/1949
Serie,,,,,,,,,,,,,,,,,,,,,,,,,
1. Producto interno bruto,2189,2398,2614,2806,2907,2882,2837,3025,3194,3395,3479,3663,3720,3961,4204,4295,4367,4376,4394,4691,4911,5384,5592,5751,6253
1.01. Importación de mercancias,437,553,682,811,703,446,365,344,423,481,487,538,664,620,779,557,561,329,403,446,608,774,1019,869,827
1.02. Total oferta final,2626,2951,3296,3617,3610,3328,3202,3369,3617,3876,3966,4201,4384,4581,4983,4852,4928,4705,4797,5137,5519,6158,6611,6620,7080
1.03. Total demanda final,2626,2951,3296,3617,3610,3328,3202,3369,3617,3876,3966,4201,4384,4599,4983,4852,4928,4705,4797,5137,5519,6158,6611,6620,7080
1.03.01. Consumo total,1589,1656,1817,1845,1965,1901,1976,1945,2295,2547,2437,2555,2599,2743,3087,2813,3171,2951,2684,3207,3128,3838,3796,3832,5020
1.03.01.1. Consumo total - hogares,1464,1545,1612,1616,1738,1596,1648,1605,1938,2245,2170,2253,2304,2445,2786,2530,2879,2622,2409,2873,2789,3472,3366,3419,4554
1.03.01.2. Consumo total - gobierno,125,111,205,229,227,305,328,340,357,302,267,302,295,298,301,283,292,329,275,334,339,366,430,413,466
1.03.02. Exportación de mercancias,487,611,669,782,810,881,780,793,801,805,907,976,1014,1067,993,1135,863,940,1162,1211,1213,1307,1248,1277,1308
1.03.03. Formación bruta interna de capital,480,599,723,857,740,482,397,469,459,468,535,589,684,699,798,767,735,646,685,746,930,1099,1326,1297,990
"1.03.03.1. Formación bruta interna de capital -
inversión privada",347,406,495,607,544,340,272,339,305,362,401,456,520,506,571,465,481,341,391,552,753,903,1031,1001,784
"1.03.03.2. Formación bruta interna de capital -
pública",133,193,228,250,196,142,125,130,154,106,134,133,164,193,227,302,254,305,294,194,177,196,295,296,206
1.03.04. Variación de existencias,70,85,87,133,95,64,49,162,61,56,87,81,87,90,105,137,159,168,266,-27,248,-86,241,214,-238
" 
Los valores ausentes se indican con un punto (.)
Descargado del sistema del Banco de la República: 12/02/2026  7:28:16 PM",,,,,,,,,,,,,,,,,,,,,,,,,
