directorio,secuencia_encuesta,secuencia_p,orden,propension_12m,consumo_12m,consumo_12m_missing_original,precio_compra,log_precio_compra,cantidad_consumo,gasto_valor,sexo,sexo_label,edad,edad_cuadrado,d2_05,educacion_label,educacion_grupo,n_hijos,familiares_consumen,amigos_consumen,probaria_sustancias,cannabis_medicinal,actividad_laboral,regimen_salud,sintomas_depresivos,anhedonia,riesgo_marihuana_ocasional,riesgo_marihuana_frecuente,frecuencia_consumo,facil_marihuana,consumo_vida,consumo_30d,consumo_reciente,edad_inicio,tipo_sustancia,lugar_consumo,forma_conseguir,gasto_total,gasto_descripcion,riesgo_marihuana,riesgo_cocaina,riesgo_basuco,riesgo_extasis,riesgo_heroina,riesgo_lsd,riesgo_inhalantes,riesgo_anfetaminas,riesgo_tranquilizantes,facilidad_conseguir,facil_cocaina,facil_basuco,actitud_marihuana,actitud_cocaina,actitud_basuco,actitud_extasis,actitud_heroina,actitud_lsd,actitud_inhalantes,actitud_anfetaminas,actitud_tranquilizantes,actitud_drogas_general,actitud_legalizacion,actitud_regulacion,actitud_prevencion,actitud_sanciones,actitud_tratamiento,d2_01,d2_03,d2_04,d2_06,d2_07,g_01,g_02,g_04,g_09,d_02,d_07,d_09,d_10,d_11_f,d_11_g
7,1,1,1,1,1.0,0,,,,,1,Hombre,33,1089,6,Tecnica/tecnologica,Superior,1,0.0,1.0,0.0,0.0,Trabajando,Contributivo,1.0,0.0,4.0,4.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,1.0,1.0,2,1,2,2,1,1.0,1,2,4,4
38,3,1,3,0,,1,,,,,1,Hombre,40,1600,4,Basica secundaria,Media,0,0.0,1.0,0.0,0.0,Trabajando,Subsidiado,0.0,0.0,3.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,1.0,1.0,2,1,2,2,1,3.0,2,2,3,3
48,1,1,1,0,,1,,,,,1,Hombre,34,1156,8,Postgrado,Superior,0,0.0,1.0,0.0,0.0,Trabajando,Subsidiado,0.0,0.0,2.0,3.0,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,2,1,2,2,1,3.0,2,2,2,3
99,5,1,5,0,,1,,,,,2,Mujer,39,1521,5,Media,Media,1,0.0,0.0,0.0,1.0,Trabajando,,1.0,0.0,3.0,2.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,1,1.0,2.0,2,2,2,1,1,,1,2,3,2
129,1,1,1,1,1.0,0,,,,,1,Hombre,44,1936,5,Media,Media,2,1.0,1.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,1.0,1.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,1.0,1,1,1,2,1,1.0,2,2,1,1
144,1,1,1,0,,1,,,,,1,Hombre,62,3844,4,Basica secundaria,Media,3,0.0,0.0,0.0,0.0,Trabajando,Contributivo,0.0,0.0,3.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,3,1.0,1.0,2,2,2,2,1,1.0,2,2,3,3
154,1,1,1,0,,1,,,,,2,Mujer,42,1764,8,Postgrado,Superior,1,0.0,0.0,0.0,0.0,Trabajando,Contributivo,0.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,1,1.0,2.0,2,2,2,2,1,1.0,2,2,4,4
160,1,1,1,1,1.0,0,10000.0,9.210340371976184,1.0,10000.0,1,Hombre,20,400,7,Universitaria,Superior,0,0.0,1.0,1.0,1.0,Estudiando,Contributivo,0.0,0.0,3.0,3.0,1,1.0,,,,2,3.0,1.0,1.0,1.0,DIEZ MIL PESOS,,,,1.0,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,9,6,0,1.0,1.0,2,1,1,1,3,1.0,2,2,3,3
181,1,1,1,0,,1,,,,,1,Hombre,42,1764,6,Tecnica/tecnologica,Superior,3,1.0,0.0,0.0,0.0,Pensionado,Especial,0.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,3,1.0,1.0,1,2,2,2,6,2.0,2,2,4,4
266,1,1,1,0,,1,,,1.0,4000.0,1,Hombre,18,324,5,Media,Media,0,0.0,0.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,2.0,3.0,1,,,,1.0,2,2.0,2.0,,1.0,CUATRO MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0,2,2,1,2,1,1.0,2,2,2,3
